API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
321664837,2274,321667111,16189416,337856527,8928,16200618,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321667863,2795,321670658,16195053,337865711,295515,16493363,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
321671089,2294,321673383,16488099,338161482,8928,16499321,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321673824,2144,321675968,16494698,338170666,296411,16793253,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
321676399,2364,321678763,16788538,338467301,8928,16799830,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321679324,1884,321681208,16795245,338476453,298235,17095364,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
321681649,2164,321683813,17091131,338774944,8896,17102191,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321684414,2264,321686678,17097386,338784064,297979,17397629,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
321687309,2385,321689694,17392573,339082267,8960,17403918,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321690215,2124,321692339,17399144,339091483,302811,17704079,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
